# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov 17 10:16:43 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and st_teff < 4200
# CONSTRAINT:  and st_rad in [0.1, 0.65])
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN gaia_dr3_id:    Gaia DR3 ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,gaia_dr3_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
GJ 357 b,GJ 357,Gaia DR3 5664814198431308288,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,3.93060000000,0.00000200000,-0.00000200000,0,0.0360000000,0.0004000000,-0.0004000000,0,1.20000000,0.06000000,-0.06000000,0,0.10705701,0.00535285,-0.00535285,0,,,,,,,,,,,,,,,,,,518.00,44.00,-44.00,0,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M2.5 V,3505.00,51.00,-51.00,0,0.337000,0.015000,-0.015000,0,0.342000,0.011000,-0.011000,0,-0.1200,0.1600,-0.1600,0,[Fe/H],4.940000,0.070000,-0.070000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.44181000,0.00511000,-0.00511000,10.9100000,0.1000000,-0.1000000,6.4750000,0.0170000,-0.0170000,9.8803600,0.0014400,-0.0014400,2023-08-22,2023-03,2023-08-22
TOI-1743 b,TOI-1743,Gaia DR3 1651807592698185728,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YAL_AMP_CCEDIL__AMP_INODOT_NKAYA_ET__AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250905038Y/abstract target=ref>Yal&ccedil;&inodot;nkaya et. al. 2025</a>,4.26604600000,0.00000200000,-0.00000200000,0,0.0358900000,0.0009200000,-0.0011000000,0,1.83000000,0.11000000,-0.10000000,0,0.16326195,0.00981356,-0.00892142,0,,,,,,,,,,,,,,,,,,485.00,14.00,-13.00,0,0,<a refstr=YAL_AMP_CCEDIL__AMP_INODOT_NKAYA_ET__AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250905038Y/abstract target=ref>Yal&ccedil;&inodot;nkaya et. al. 2025</a>,M4 V,3277.00,78.00,-77.00,0,0.338000,0.014000,-0.014000,0,0.339000,0.027000,-0.031000,0,0.2200,0.1400,-0.1500,0,[Fe/H],4.909000,0.032000,-0.033000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h10m59.36s,257.7473322,+71d52m19.93s,71.8722039,41.27580000,0.08870000,-0.08870000,14.9720000,0.0730000,-0.0730000,9.9990000,0.0140000,-0.0140000,13.7291000,0.0008900,-0.0008900,2025-10-02,2025-09,2025-10-02
TOI-2136 b,TOI-2136,Gaia DR3 2096535783864546944,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1417G/abstract target=ref>Gan et al. 2022</a>,7.85192800000,0.00001800000,-0.00001600000,0,0.0570000000,0.0060000000,-0.0060000000,0,2.19000000,0.17000000,-0.17000000,0,0.19537905,0.01516641,-0.01516641,0,6.37000000,2.45000000,-2.29000000,0,0.02004226,0.00770856,-0.00720515,0,Mass,0.000000,,,0,4.0000,2.1000,-1.5000,0,395.00,24.00,-22.00,0,0,<a refstr=GAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1417G/abstract target=ref>Gan et al. 2022</a>,M4.5 V,3342.00,100.00,-100.00,0,0.340000,0.020000,-0.020000,0,0.340000,0.020000,-0.020000,0,0.0300,0.0700,-0.0700,0,[Fe/H],4.910000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m42.32s,281.1763433,+36d33m47.27s,36.5631318,33.36310000,0.06425000,-0.06425000,14.3200000,0.2000000,-0.2000000,9.3430000,0.0220000,-0.0220000,12.9643000,0.0009160,-0.0009160,2022-07-12,2022-08,2022-07-12
TOI-206 b,TOI-206,Gaia DR3 4665277593852295424,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.73631040000,0.00000030000,-0.00000030000,0,0.0112000000,0.0001000000,-0.0001000000,0,1.30000000,0.05000000,-0.05000000,0,0.11597843,0.00446071,-0.00446071,0,,,,,,,,,,,,,,,,,,910.00,36.00,-36.00,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,,3383.00,157.00,-157.00,0,0.350000,0.010000,-0.010000,0,0.350000,0.010000,-0.010000,0,,,,,,4.890000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h54m57.17s,73.7382202,-62d31m18.75s,-62.5218740,47.74650000,0.11000000,-0.10950000,14.9380000,0.1260000,-0.1260000,10.0600000,0.0220000,-0.0220000,13.6662000,0.0006700,-0.0006700,2022-02-15,2022-02,2022-02-15
TOI-519 b,TOI-519,Gaia DR3 5707485527450614656,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KAGETANI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230414703K/abstract target=ref>Kagetani et al. 2023</a>,1.26523280000,0.00000050000,-0.00000050000,0,0.0159000000,0.0001000000,-0.0001000000,0,11.54525012,0.33626942,-0.33626942,0,1.03000000,0.03000000,-0.03000000,0,147.15455244,26.06192937,-27.96889982,0,0.46300000,0.08200000,-0.08800000,0,Mass,0.330000,,,1,,,,,687.00,14.00,-14.00,0,0,<a refstr=KAGETANI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230414703K/abstract target=ref>Kagetani et al. 2023</a>,M V,3322.00,49.00,-49.00,0,0.350000,0.010000,-0.010000,0,0.335000,0.008000,-0.008000,0,0.2700,0.0900,-0.0900,0,[Fe/H],4.870000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m25.62s,124.6067582,-19d39m46.05s,-19.6627918,115.55700000,0.93700000,-0.92200000,17.3500000,0.2000000,-0.2000000,11.9510000,0.0240000,-0.0240000,15.7067000,0.0004370,-0.0004370,2023-05-15,2023-04,2023-05-15
TOI-7149 b,TOI-7149,Gaia DR3 1200751810900182400,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KANODIA_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250617861K/abstract target=ref>Kanodia et al. 2025</a>,2.65206166000,0.00000080000,-0.00000080000,0,0.0260300000,0.0007100000,-0.0007600000,0,13.20000000,0.51000000,-0.51000000,0,1.18000000,0.04500000,-0.04500000,0,224.00000000,24.00000000,-24.00000000,0,0.70500000,0.07500000,-0.07500000,0,Mass,0.078000,0.047000,-0.048000,0,20.6000,2.9000,-2.9000,0,593.00,21.00,-21.00,0,0,<a refstr=KANODIA_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250617861K/abstract target=ref>Kanodia et al. 2025</a>,M4 V,3363.00,59.00,-59.00,0,0.351000,0.015000,-0.015000,0,0.344000,0.030000,-0.030000,0,-0.0800,0.1600,-0.1600,0,[Fe/H],4.880000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h18m57.23s,244.7384657,+19d10m32.92s,19.1758116,126.12600000,1.11600000,-1.09700000,,,,12.2300000,0.0240000,-0.0240000,16.1589000,0.0008640,-0.0008640,2025-08-14,2025-06,2025-08-14
TOI-4860 b,TOI-4860,Gaia DR3 3571038605366263424,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,1.52275910000,0.00000030000,-0.00000030000,0,0.0180800000,0.0001500000,-0.0001500000,0,8.70000000,0.40000000,-0.40000000,0,0.77000000,0.03000000,-0.03000000,0,86.70000000,1.90000000,-1.90000000,0,0.27300000,0.00600000,-0.00600000,0,Mass,0.008000,0.013000,-0.006000,0,42.5000,1.9000,-1.9000,0,694.00,15.00,-15.00,0,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,M3.5 V,3260.00,50.00,-50.00,0,0.358000,0.015000,-0.015000,0,0.340000,0.009000,-0.009000,0,0.2700,0.1200,-0.1200,0,[Fe/H],4.860000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m15.35s,183.5639610,-13d10m29.43s,-13.1748411,80.14230000,0.64810000,-0.63790000,16.4700000,0.2000000,-0.2000000,11.1750000,0.0260000,-0.0260000,15.1091000,0.0012870,-0.0012870,2024-03-04,2023-08,2024-03-04
TOI-277 b,TOI-277,Gaia DR3 2353440974955205632,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MAGLIANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3168M/abstract target=ref>Magliano et al. 2022</a>,3.99400000000,0.00040000000,-0.00040000000,0,0.0269000000,0.0011000000,-0.0011000000,0,2.65000000,0.18000000,-0.18000000,0,0.23641757,0.01605855,-0.01605855,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAGLIANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3168M/abstract target=ref>Magliano et al. 2022</a>,,4031.00,21.00,-23.00,0,0.362000,0.008000,-0.004000,0,0.160000,0.010000,-0.010000,0,-0.0100,0.0700,-0.0900,0,[Fe/H],4.580000,0.100000,-0.130000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h16m18.41s,19.0766985,-20d57m11.80s,-20.9532772,64.66920000,0.13825000,-0.13825000,13.6320000,0.0210000,-0.0210000,9.5570000,0.0230000,-0.0230000,12.7896000,0.0007030,-0.0007030,2022-11-29,2022-11,2022-11-29
GJ 3473 b,GJ 3473,Gaia DR3 3094290054327367168,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.19800350000,0.00000180000,-0.00000190000,0,0.0158900000,0.0006200000,-0.0006200000,0,1.26400000,0.05000000,-0.04900000,0,0.11276653,0.00446070,-0.00437149,0,1.86000000,0.30000000,-0.30000000,0,0.00585219,0.00094390,-0.00094390,0,Mass,0.000000,,,0,59.4000,5.0000,-4.5000,0,773.00,16.00,-15.00,0,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347.00,54.00,-54.00,0,0.364000,0.012000,-0.012000,0,0.360000,0.016000,-0.016000,0,0.1100,0.1900,-0.1900,0,[Fe/H],4.810000,0.060000,-0.060000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.36440000,0.03760000,-0.03760000,13.7400000,0.0270000,-0.0270000,8.8290010,0.0240000,-0.0240000,12.4650000,0.0003430,-0.0003430,2020-10-16,2020-10,2020-10-22
TOI-3235 b,TOI-3235,Gaia DR3 6107144260251920000,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210008H/abstract target=ref>Hobson et al. 2023</a>,2.59261842000,0.00000041000,-0.00000041000,0,0.0270900000,0.0004600000,-0.0004600000,0,11.39953337,0.49319515,-0.49319515,0,1.01700000,0.04400000,-0.04400000,0,211.35589065,7.94571018,-7.94571018,0,0.66500000,0.02500000,-0.02500000,0,Mass,0.029000,,,1,,,,,604.00,19.00,-19.00,0,0,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210008H/abstract target=ref>Hobson et al. 2023</a>,M V,3388.80,68.00,-68.00,0,0.369700,0.016000,-0.016000,0,0.393900,0.020000,-0.020000,0,0.2640,0.1000,-0.1000,0,[Fe/H],4.897600,0.063000,-0.063000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h49m53.72s,207.4738488,-46d03m59.45s,-46.0665139,72.81100000,0.53460000,-0.52700000,15.1600000,0.2000000,-0.2000000,10.8190000,0.0210000,-0.0210000,14.4858000,0.0006840,-0.0006840,2023-02-25,2023-02,2023-02-25
TOI-6255 b,TOI-6255,Gaia DR3 1956328333130770048,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DAI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..101D/abstract target=ref>Dai et al. 2024</a>,0.23818244000,0.00000012000,-0.00000012000,0,,,,,1.07900000,0.06500000,-0.06500000,0,0.09626210,0.00579892,-0.00579892,0,1.44000000,0.14000000,-0.14000000,0,0.00453075,0.00044049,-0.00044049,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=DAI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..101D/abstract target=ref>Dai et al. 2024</a>,,3421.00,70.00,-70.00,0,0.370000,0.011000,-0.011000,0,0.353000,0.015000,-0.015000,0,-0.1400,0.0900,-0.0900,0,[Fe/H],4.850000,0.044000,-0.044000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h06m00.76s,331.5031606,+39d17m55.78s,39.2988284,20.31670000,0.02360000,-0.02360000,12.7470000,0.0520000,-0.0520000,8.0710000,0.0200000,-0.0200000,11.6345000,0.0009290,-0.0009290,2024-08-16,2024-09,2024-08-16
TOI-1468 b,TOI-1468,Gaia DR3 2785466581298775680,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MEIER_VALD_AMP_EACUTE_S_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250319772M/abstract target=ref>Meier Vald&eacute;s et al. 2025</a>,1.88052010000,0.00000250000,-0.00000300000,0,0.0210700000,0.0001600000,-0.0001600000,0,1.40100000,0.05900000,-0.06000000,0,0.12498906,0.00526364,-0.00535285,0,3.04000000,0.46000000,-0.46000000,0,0.00956491,0.00144732,-0.00144732,0,Mass,0.009900,0.018000,-0.005000,0,36.4000,1.3000,-1.3000,0,683.50,6.30,-6.20,0,0,<a refstr=MEIER_VALD_AMP_EACUTE_S_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250319772M/abstract target=ref>Meier Vald&eacute;s et al. 2025</a>,,3376.00,45.00,-44.00,0,0.371400,0.010000,-0.010000,0,0.352700,0.008100,-0.007900,0,-0.0100,0.2100,-0.2200,0,[Fe/H],4.846000,0.025000,-0.025000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.73990000,0.04690000,-0.04670000,12.5000000,0.2000000,-0.2000000,8.4970000,0.0170000,-0.0170000,12.1172000,0.0006970,-0.0006970,2025-06-11,2025-03,2025-06-11
TOI-1468 c,TOI-1468,Gaia DR3 2785466581298775680,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MEIER_VALD_AMP_EACUTE_S_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250319772M/abstract target=ref>Meier Vald&eacute;s et al. 2025</a>,15.53247700000,0.00002500000,-0.00002600000,0,0.0860800000,0.0006500000,-0.0006500000,0,2.12600000,0.09200000,-0.09300000,0,0.18966934,0.00820770,-0.00829692,0,4.10000000,1.10000000,-1.10000000,0,0.01290004,0.00346099,-0.00346099,0,Mass,0.111000,0.150000,-0.084000,0,2.1300,0.1000,-0.1200,0,338.10,3.10,-3.10,0,0,<a refstr=MEIER_VALD_AMP_EACUTE_S_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250319772M/abstract target=ref>Meier Vald&eacute;s et al. 2025</a>,,3376.00,45.00,-44.00,0,0.371400,0.010000,-0.010000,0,0.352700,0.008100,-0.007900,0,-0.0100,0.2100,-0.2200,0,[Fe/H],4.846000,0.025000,-0.025000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.73990000,0.04690000,-0.04670000,12.5000000,0.2000000,-0.2000000,8.4970000,0.0170000,-0.0170000,12.1172000,0.0006970,-0.0006970,2025-06-11,2025-03,2025-06-11
TOI-4438 b,TOI-4438,Gaia DR3 4606416269652179328,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GOFFO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240309833G/abstract target=ref>Goffo et al. 2024</a>,7.44628000000,0.00000900000,-0.00000900000,0,0.0534000000,0.0037000000,-0.0037000000,0,2.52000000,0.13000000,-0.13000000,0,0.22481973,0.01159784,-0.01159784,0,5.40000000,1.10000000,-1.10000000,0,0.01699030,0.00346099,-0.00346099,0,Mass,0.140000,0.090000,-0.090000,0,6.0000,0.9000,-0.7700,0,435.00,15.00,-15.00,0,0,<a refstr=GOFFO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240309833G/abstract target=ref>Goffo et al. 2024</a>,M3.5 V,3422.00,81.00,-81.00,0,0.372000,0.018000,-0.018000,0,0.368000,0.021000,-0.021000,0,-0.1900,0.0500,-0.0500,0,[Fe/H],4.680000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h01m16.14s,270.3172389,+35d35m41.64s,35.5948992,30.03460000,0.02330000,-0.02330000,13.6900000,0.0450000,-0.0450000,8.8690000,0.0180000,-0.0180000,12.5196000,0.0003370,-0.0003370,2024-03-25,2024-03,2024-03-25
