This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Sun Aug 03 09:14:16 2025
Filter Values: disposition notContains F AND notContains EB; stellar_distance lessThan 300; stellar_teff lessThan 4200; stellar_radius lessThan 0.65; tfopwg_disposition notContains F AND notContains A

"TIC ID","TOI","CTOI","Master priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Predicted RV Semi-amplitude (m/s)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","View all TFOPWG Disposition","TESS mag","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM Dec (mas/yr)","Transit Epoch (BJD)","Period (days)","Duration (hours)","Depth (mmag)","Depth (ppm)","Planet Radius (R_Earth)","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Teff (K)","Stellar log(g) (cm/s2)","Stellar Radius (R_Sun)","Stellar Metallicity","Stellar Mass (M_Sun)","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"153951307","1238.02","","2","5","2","4","4","4","5.2","6.3","2.37","2.3","4","2","8","CP","CP","1238.02","11.2582","2","spoc-s14-s78-b0A-PC","SPOC","201.382339","68.836068","-4.963","-45.922","2458684.104681","0.76458065849327","1.0705699823424","0.428932","394.98320057262","1.2407225796578","399.2723837039","1140.0845694137","12.527006","70.7145","3853","4.63168","0.62326002120972","","0.606665","14,15,21,22,41,49,74,76","TOI 1238 b (GonzÃ¡lez-Ãlvarez + 2022)","2019-11-15","2025-07-31","2025-08-01"
"467179528","1266.01","","1","5","1","4","4","4","2.6","74.1","6.67","3.4","8","3","7","CP","CP","1266.01","11.0402","1","spoc-s14-s50-b0A-CP","SPOC/QLP","197.996583","65.833697","-150.652","-25.368","2459649.751299","10.894842098174","2.0719393955461","3.445492","3168.385358398","2.4691413989951","5.5137470930841","390.82421119873","37.82544","36.0118","3618","4.79432","0.43566599488258","","0.431082","14,15,21,22,41,48,49","TOI-1266 b / TOI 1266.01","2019-10-17","2022-11-09","2025-07-31"
"467179528","1266.02","","2","5","2","4","4","4","0.7","44.3","4.32","1.8","8","3","7","CP","CP","1266.02","11.0402","2","spoc-s14-s50-b0A-CP","SPOC","197.996583","65.833697","-150.652","-25.368","2459630.046434","18.80161110998","1.9093524102518","1.832953","1686.7881033264","1.9112282268809","2.6636756551691","325.82926214187","15.856179","36.0118","3618","4.79432","0.43566599488258","","0.431082","14,15,21,22,41,48,49","TOI-1266 c / TOI 1266.02","2019-11-15","2022-11-09","2025-07-31"
"234523599","127.01","","5","5","5","4","5","5","34.9","146.7","76","53.9","3","0","0","CP","CP","127.01","14.1266","1","spoc-s01-s36-b0A-CPKP","SPOC","15.551889","-61.756133","78.858","-27.095","2458325.650603","3.795517783809","2.0198134847305","58.298733","52278.994097885","10.32616194771","18.083233597032","525.94311313137","75.709694","140.225","3424","4.438","0.44537198543549","","0.44159","1,2,28,29","HATS-71 b","2018-11-14","2021-12-09","2025-07-31"
"163539739","1278.01","","4","5","4","4","4","4","14.1","151.8","56.78","22.2","3","1","2","CP","CP","1278.01","11.7819","1","spoc-s14-s60-b0A-CP","SPOC","320.478444","35.648625","-89.556","-46.868","2459826.540249","14.475106231092","1.6182483885653","10.493789","9618.5798533773","8.6976172557008","6.5402174502949","407.86627503242","23.134491","75.5759","3841","4.69364","0.55035001039505","","0.545569","15,55,56","TOI-1278 b","2019-10-17","2023-06-13","2025-07-31"
"234994474","134.01","","1","5","5","4","1","4","11.3","15.5","2.74","2.2","7","5","9","CP","CP","134.01","9.22978","1","spoc-s01-s69-b0A-CP","SPOC/QLP","350.028592","-60.065729","-319.961","-127.781","2458326.034032","1.4015182601658","1.158306136657","0.644852","593.75409215611","1.4616853132728","149.37475428315","891.6389885367","20.450527","25.1496","3794","4.67812","0.59700697660446","","0.58564","1,28,68","L 168-9 b","2018-09-05","2024-09-30","2025-07-31"
"410153553","136.01","","1","5","5","4","1","4","38.2","326.7","2.92","8.2","11","1","5","PC","CP","136.01","11.9238","1","spoc","UNKNOWN","340.496204","-69.172108","334.357","-726.974","2459036.323679","0.46288440527326","0.55882192078813","4.885837","4489.9119215305","1.354323680243","64.718104042017","723.39615494047","25.038494","14.8846","3043","5.09707","0.188624","","0.157909","1,27","Level 1 target. Potential short period small planet around an M dwarf.","2018-09-05","2020-10-27","2025-07-31"
"235683377","1442.01","","2","4","2","4","4","4","9.5","13","1.77","3.5","9","0","3","CP","CP","1442.01","12.4934","1","spoc-s14-s55-b0A-CP","SPOC","287.292101","74.174276","82.064","462.813","2459768.708421","0.40906805810863","0.61657258963041","1.391969","1281.2294664543","1.1833778843828","207.02424361357","967.44225288854","30.293798","41.1659","3328","4.91612","0.30879899859428","","0.286682","14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55","TOI-1442 b","2019-11-14","2023-02-22","2025-07-31"
"343628284","1448.01","","2","5","2","4","4","4","1.6","44.4","7.46","4.6","4","1","6","PC","CP","1448.01","13.1717","1","spoc-s57-b0A","SPOC","316.324003","57.771095","-15.721","-64.779","2459857.185608","8.0970818559645","3.1278520002215","5.140159","4723.0724376419","2.6354042765552","5.363227537625","388.12918935476","7.6244526","73.3345","3391","4.84373","0.38158598542213","","0.370553","15,16,57","There is scattered light which may have caused the centroid shift.","2019-11-14","2023-01-30","2025-07-31"
"377293776","1450.01","","2","5","2","4","4","4","4.5","12.6","1.33","1.1","7","3","8","PC","CP","1450.01","10.0306","1","spoc-s14-s55-b0A-PC","SPOC","286.854063","59.086625","69.923","160.881","2459662.335574","2.0439267807655","1.008936990224","0.505194","465.19298749055","1.0924807577729","44.949252357359","660.3898165888","23.923962","22.4467","3407","4.7606","0.47360301017761","","0.471371","14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55","L1 candidate; 2 stars in pixel; other star is TIC 1717871768 (Tmag = 13.41)","2019-11-14","2023-03-14","2025-07-31"
"420112589","1452.01","","2","2","2","4","4","4","0.6","53.5","3.25","2.4","3","0","3","CP","CP","1452.01","12.295","1","spoc-s14-s60-b0A-CP","SPOC","290.173974","73.195108","7.83","-73.913","2459731.359311","11.061993744592","1.7587776713151","3.533427","3249.1164333692","1.6184943757719","2.0225025178351","304.15293895667","19.909908","30.5212","3248","4.95407","0.27536401152611","","0.24878","14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,54,55,56,57,58,59,60","TOI-1452 b","2019-11-14","2023-06-13","2025-07-31"
"240968774","1467.01","","3","5","3","4","4","4","3.5","64.4","4.17","2.4","3","13","7","PC","CP","1467.01","10.5977","1","spoc-s14-s60-b0A-PC","SPOC","19.114644","49.233138","108.394","-149.059","2458766.989118","5.9711356669445","1.5478670705519","1.561443","1437.108602693","1.8721145046679","18.088245517968","525.97955173845","12.412292","37.4418","3834","4.74552","0.49073699116707","","0.488826","17,18,58","","2019-12-05","2023-05-19","2025-07-31"
"243185500","1468.01","","1","5","1","4","4","4","1","74.2","4.72","2.4","20","6","9","PC","CP","1468.01","10.8858","1","spoc-s01-s46-b0A","SPOC","16.653872","19.224919","-41.465","-222.697","2459450.356025","15.532438489199","1.7640717472028","3.194039","2937.4953213587","2.0135759853641","2.1399187652029","308.47435963883","19.714228","24.7399","3382","4.85532","0.36930599808693","","0.356472","17,42,43","possible multi","2019-12-05","2022-07-15","2025-07-31"
"243185500","1468.02","","3","5","3","4","4","4","7.3","14.8","2.72","2.8","20","6","9","PC","CP","1468.02","10.8858","2","spoc-s01-s46-b0A","SPOC","16.653872","19.224919","-41.465","-222.697","2459448.308156","1.8805310173174","1.1911684290909","1.318892","1214.0066593191","1.4548629228926","35.72806333896","623.55119875552","15.640335","24.7399","3382","4.85532","0.36930599808693","","0.356472","17,42,43","potential multi","2019-12-05","2022-07-15","2025-07-31"
"284441182","1470.01","","2","5","2","4","4","4","7.2","70.5","5.49","4.1","7","3","7","PC","CP","1470.01","11.4752","1","spoc-s58-b0A","SPOC","10.089143","61.213387","48.576","-55.602","2459883.443614","2.5272822424391","1.2658609703019","2.007739","1847.4872235657","2.2007181499311","45.360821366935","661.89633604976","7.901595","51.9503","3624","4.74607","0.49011999368668","","0.488207","17,18,24,58","crowded field; L1 candidate","2019-12-05","2023-02-21","2025-07-31"
"201186294","1634.01","","1","5","1","4","4","4","14.4","105.9","4.01","4.3","11","3","10","PC","CP","1634.01","11.0136","1","spoc","SPOC","56.39061","37.11228","81.643","13.486","2458791.515001","0.98933001100516","1.0357614509997","1.651215","1519.6695870074","1.8303854109663","122.21502617418","848.00985789231","10.747845","35.2736","3455","4.76798","0.465258","","0.462696","18","Level one candidate","2020-01-14","2020-01-14","2025-07-31"
"396562848","1640.01","","1","5","1","4","4","4","8.9","22.6","2.52","3.4","11","1","4","CP","CP","1640.01","11.0548","1","spoc-s14-s60-b0A-CP","SPOC","44.338874","76.551405","691.036","-399.685","2459767.373106","1.9495403378394","0.80606181469418","2.270741","2089.2444115236","1.3929217337065","23.372204404281","560.7827790627","24.536419","18.2276","3414","4.97292","0.26018700003624","","0.231967","18,19,25,26,52,53,59","LHS 1478 b","2020-01-14","2023-06-13","2025-07-31"
"259168516","1680.01","","2","5","2","4","4","4","1.2","9","2.61","3.1","11","1","6","PC","CP","1680.01","13.3081","1","spoc-s14-s60-b0A-PC","SPOC","292.313979","65.973802","56.574","-131.332","2459657.394071","4.8026560812477","1.1658647662903","4.742105","4358.1157677821","1.4202459202407","4.4510969247209","370.45589702913","26.47739","37.2209","3231","5.04064","0.21345899999142","","0.182476","14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59","","2020-01-30","2023-05-25","2025-07-31"
"28900646","1685.01","","1","5","1","4","4","4","19.8","124.9","4.35","5.3","8","5","11","CP","CP","1685.01","11.1117","1","spoc-s14-s60-b0A-CP","SPOC","68.593953","43.03704","37.818","-86.912","2459910.938093","0.66914491421661","0.99216313634183","1.362771","1254.3711931874","1.9200406981571","204.69105215292","964.70485496907","13.492256","37.6153","3457","4.7705","0.46240800619125","","0.459708","19,59","TOI-1685 b","2020-01-30","2023-06-13","2025-07-31"
"353475866","1693.01","","2","2","2","4","4","4","7.7","84.1","3.05","2.7","9","4","4","CP","CP","1693.01","10.6714","1","spoc-s01-s72-b0A-CP","SPOC","90.308345","34.77309","-22.762","-17.765","2458817.684965","1.7666920094826","1.4196682162171","0.902088","830.5082972738","1.5574734396665","57.020808373974","700.85486451197","16.687923","30.7947","3474","4.77152","0.46125999093056","","0.4585","19,43,44,45,72","TOI-1693 b","2020-01-30","2024-06-06","2025-07-31"
"422756130","1695.01","","2","5","2","4","4","4","4.6","57.4","3.9","2.7","6","3","6","CP","CP","1695.01","11.0294","1","spoc-s14-s60-b0A-PC","SPOC","21.921735","72.296615","71.707","40.475","2458791.519137","3.1342945619236","1.215879591507","1.285845","1183.6060713481","1.7992966061178","34.55370325106","618.36286311481","19.041552","45.1309","3575","4.72334","0.51610499620438","","0.513745","18,19,24,25,52,58,59","TOI-1695 b","2020-01-30","2023-05-22","2025-07-31"
"470381900","1696.01","","1","5","1","4","4","4","8.6","98.7","10.21","12.1","4","1","10","CP","CP","1696.01","13.9664","1","spoc-s59-b0A","SPOC","65.280648","48.819831","12.93","-19.178","2459911.832125","2.5005290983268","0.88098649465966","13.744487","12579.350475778","3.1713853245147","13.80807308764","491.64657591413","7.788581","64.9172","3181","4.94798","0.28047499060631","","0.254505","19,59","TOI-1696 b","2020-01-30","2023-03-06","2025-07-31"
"285048486","1728.01","","3","5","3","4","4","4","28.6","148.1","21.88","12.8","6","3","2","CP","CP","1728.01","10.7921","1","qlp-s47-tois","SPOC","120.611679","64.797153","104.078","52.92","2459604.399093","3.4913952","1.763","5.878863","5400","4.9395","44.3221","718","68","60.798","3907","4.62346","0.63","","0.614339","20,47","TOI-1728 b","2020-02-19","2022-06-28","2025-07-31"
"219860288","1743.01","","1","5","1","4","4","4","8.7","138.5","10.96","9.6","10","0","3","PC","CP","1743.01","12.4251","1","qlp-s49-tois","SPOC","257.747332","71.872204","66.979","188.773","2459660.494212","4.2660553","0.69","1.847322","1700","3.30511","10.8837","506","11","41.2758","3281","4.90415","0.32","","0.299659","15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49","slightly v-shaped; potential L1 candidate","2020-02-27","2022-08-19","2025-07-31"
"233602827","1749.01","","1","5","1","4","4","4","2.1","28.8","4.66","2.7","4","1","2","CP","CP","1749.01","12.2574","1","spoc-s14-s60-b0A-CP","SPOC","282.737228","64.419466","-54.402","61.827","2459763.323055","4.489136684777","1.8833376651575","1.381051","1271.1867023262","1.9980298322591","36.153898779107","625.40094625718","21.233028","99.5561","3959","4.68416","0.56135600805283","","0.555356","14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,59,60","TOI-1749 c / TOI 1749.01","2020-02-27","2023-06-13","2025-07-31"
"233602827","1749.02","","1","5","1","4","4","4","1.3","26.6","5.7","2.6","4","1","2","CP","CP","1749.02","12.2574","2","spoc-s14-s60-b0A-CP","SPOC","282.737228","64.419466","-54.402","61.827","2459647.515197","9.0447038549647","1.765314791841","1.750533","1611.0010187773","2.2493746087611","14.207350919236","495.16281868225","17.26894","99.5561","3959","4.68416","0.56135600805283","","0.555356","14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,59,60","TOI-1749 d / TOI-1749.02; multi","2020-02-27","2023-06-02","2025-07-31"
"307210830","175.01","","1","5","1","4","2","4","8","29.3","2.5","2.4","20","7","6","CP","CP","175.01","9.41242","1","qlp-s87-ffi","QLP","124.53286","-68.314466","94.768","-340.47","2460688.70837","3.6906758578022","1.107","1.800557","1657","1.36751","8.77401","479","80","10.6194","3469","4.9401","0.31","","0.292836","2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87","L 98-59 c; TOI 175.01","2019-05-07","2025-07-09","2025-07-31"
"307210830","175.02","","4","5","5","4","4","4","16.5","441.8","9.75","7.3","20","7","6","CP","CP","175.02","9.41242","2","qlp-s63-ffi","SPOC","124.53286","-68.314466","94.768","-340.47","2460039.154503","7.4507305","0.475","1.675497","1542","3.04528","1.96064","329","40","10.6194","3469","4.9401","0.31","","0.292836","2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63","L 98-59 d/TOI 175.02","2019-05-07","2023-05-11","2025-07-31"
"307210830","175.03","","4","5","5","4","4","4","7.4","32.8","1.07","1.2","20","7","6","CP","CP","175.03","9.41242","3","spoc-s01-s69-b0A-CP","SPOC/QLP","124.53286","-68.314466","94.768","-340.47","2458354.907237","2.2531061617493","0.99398365453732","0.741156","682.39727233878","0.8266350041824","24.478221291489","567.30252129131","43.44456","10.6194","3469","4.9401","0.31415998935699","","0.292836","2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69","L 98-59 b / TOI 175.03","2019-05-07","2025-07-09","2025-07-31"
"408636441","1759.01","TIC 408636441.01","1","5","1","4","4","4","2.8","75.7","9.7","3.2","7","17","3","CP","CP","1759.01","9.92838","1","qlp-s77-ffi","SPOC","326.851662","62.753816","-173.47","-10.46","2460404.266149","18.8500438","3.407","2.837476","2610","3.09094","5.95531","435","43","40.0654","3960","4.62853","0.63","","0.609617","16,17,24,56,57,58,76,77","TOI-1759 b","2020-02-27","2024-11-15","2025-07-31"
"262530407","177.01","","1","5","1","4","4","4","12.7","136.7","4.71","3.3","8","5","3","CP","CP","177.01","9.49275","1","qlp-s69-ffi","SPOC/QLP","20.438428","-46.714723","-111.206","-79.827","2460204.963281","2.8531016","1.142","1.515659","1395","2.02068","23.0419","610","28","22.4751","3703","4.76229","0.52","","0.515356","2,3,29,69","GJ 3090 b","2018-12-20","2024-09-30","2025-07-31"
"119584412","1801.01","","2","5","2","4","4","4","2.6","65.7","4.56","2","4","10","4","PC","CP","1801.01","9.85623","1","qlp-s49-ffi","SPOC","175.575599","23.027033","-205.015","41.426","2459648.619735","10.6439385","2.713","1.347148","1240","1.98891","10.7276","504","12","30.6796","3815","4.69775","0.55","","0.541272","22,49","period updated to ~10.64 days with qlp-s49-ffi","2020-04-15","2022-05-19","2025-07-31"
"166648874","1806.01","","2","5","2","4","4","4","0.9","48.1","8.47","4.1","21","1","5","PC","CP","1806.01","12.6196","1","spoc-s14-s50-b0A-PC","SPOC","166.118147","30.458576","-163.272","-40.435","2458909.543414","15.151205087993","2.343816562786","5.393528","4955.3042919556","2.8411799012105","2.1462128965214","308.70093836393","8.752779","55.5211","3272","4.82521","0.40157499909401","","0.393258","22,48","potential multi","2020-04-15","2023-03-17","2025-07-31"
"390651552","1827.01","","1","5","1","4","4","4","22.4","45.1","2.31","2.8","11","2","8","CP","CP","1827.01","8.8223","1","spoc-s14-s50-b0A-CP","SPOC","191.981531","9.749418","-1008.6","-459.8","2459691.149337","1.4671190347307","1.0069313080053","1.684884","1550.6323679917","1.3241393966913","39.492214039563","639.36317681253","34.38628","8.07426","3297","4.89","0.3314720094204","","0.312792","23,50","","2020-05-07","2022-11-09","2025-07-31"
"198385543","1846.01","","2","5","2","4","4","4","3.2","54.9","3.86","2.9","7","3","6","PC","CP","1846.01","11.8467","1","spoc-s14-s55-b0A-PC","SPOC","257.954965","54.527848","-61.625","211.315","2459884.349803","3.9306746279257","1.430514156091","1.779022","1637.1984269483","1.7902005754681","17.741867782548","523.44322636645","19.41492","47.2496","3512","4.81618","0.41145199537277","","0.404348","17,20,23,24,25,26,40,47,50,51,52,53,54,58","L1 candidate; possible secondary at phase 0.3; two stars in pixel","2020-05-07","2023-03-22","2025-07-31"
"348755728","1883.01","TIC 348755728.01","3","5","3","4","4","4","11.3","77","26.47","16.5","7","1","5","PC","CP","1883.01","13.3462","1","spoc-s01-s65-b0A-PC","CTOI","134.089246","-12.930644","30.75","3.168","2459256.846553","4.5063838083807","2.0392006834635","13.682485","12522.96136617","5.5521734279247","17.943561028779","524.92457900698","17.854677","115.369","3477","4.74303","0.49357599020004","","0.491671","8,35,61","Match to TOI 633; Will Waalkes and Zach Berta-Thompson observed a full on 20190425 and ruled out a transit on TOI 633 but confirmed a 9.6 ppt event on 348755728; CTOI from Karen Collins","2020-05-29","2024-01-16","2025-07-31"
"172370679","1899.01","TIC 172370679.01","3","5","3","4","4","4","6.9","109.4","100.68","29.4","0","0","2","CP","CP","1899.01","12.5826","1","spoc-s14-s41-b0A-CP","CTOI","299.426847","40.143346","35.427","18.828","2459439.215254","29.090227147659","4.6769825632142","41.568471","37562.333273578","12.182651671305","2.6006009651885","323.88301946093","62.05948","128.438","3854","4.63619","0.61786299943924","","0.602425","14,15,41,53","alerted as single transit; now a duo-transit; CTOI from Planet Hunters; period updated to reflect period for TESS CP TOI-1899 b","2020-05-29","2022-10-11","2025-07-31"
"12421862","198.01","","1","5","4","4","1","4","1.7","9.5","2.79","1.4","22","7","8","PC","CP","198.01","9.92801","1","spoc","QLP","2.271509","-27.121745","692.255","90.142","2458356.3672","10.215016792666","1.9683065535731","1.079877","994.10890450098","1.4777754128763","7.4195033952489","420.93346955177","11.117827","23.7262","3763","4.83739","0.44733598828316","","0.4437","2,29","period updated to half alerted period (~10.2 days) from spoc-s01-s36 multisector","2018-11-03","2021-07-15","2025-07-31"
"188589164","2013.01","","2","5","2","4","4","4","4.6","18.5","1.35","1.4","5","2","10","CP","CP","2013.01","10.2705","1","spoc-s14s26-b0A","SPOC/QLP","239.577568","35.408114","-143.277","318.219","2458956.396322","2.6162768723632","1.1348930228289","1.21736","1120.6014184486","1.097286737427","19.106012795325","533.22716426739","14.412579","15.8095","3352","4.8984","0.325635","","0.306053","24,25","GJ 3929 b","2020-06-19","2024-10-02","2025-07-31"
"368287008","2015.01","","1","5","1","4","4","4","26.5","218.9","25.62","24.4","38","1","10","PC","CP","2015.01","12.8387","1","qlp-s51-tois","SPOC","232.132653","27.361073","-56.166","63.966","2459712.928909","3.3491408","1.207","7.856515","7210","5.37673","31.0153","657","10","47.3444","3223","4.89993","0.32","","0.304345","24,51","Some odd-even","2020-06-19","2022-09-02","2025-07-31"
"55650590","206.01","","1","5","1","4","4","4","9.1","78.1","2.97","4.3","7","3","3","CP","CP","206.01","12.4312","1","spoc-s01-s65-b0A-CP","SPOC","73.73822","-62.521874","105.973","111.015","2458325.542536","0.7363132199312","0.67368533226497","1.436887","1322.5461053628","1.5332682138574","117.75816711264","840.17065542403","25.910513","47.7465","3358","4.438","0.35167598724365","","0.336144","1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,65","TOI-206 b","2019-05-17","2024-01-17","2025-07-31"
"417931300","2068.01","","2","5","2","4","4","4","1.7","36.4","3.84","1.9","6","4","6","CP","CP","2068.01","11.1806","1","spoc-s14-s78-b0A-PC","SPOC","186.27356","60.418346","-197.88","-6.197","2458683.416826","7.7690887482677","2.6251446616722","1.539352","1416.7912077079","2.3663307742286","12.65776859766","481.07084498216","11.394531","52.9328","3700","4.70036","0.54257297515869","","0.538526","14,15,21,22,41,48,75","TOI-2068 b","2020-07-15","2025-07-31","2025-08-01"
"321669174","2081.01","","2","4","2","4","4","4","1.2","31.8","4.46","2","10","5","4","CP","CP","2081.01","11.642","1","spoc-s14-s60-b0A-CP","SPOC","264.302263","53.025567","-111.988","-31.78","2459757.444606","10.505436171361","2.4850400896275","1.434773","1320.6016253026","1.9479290186932","8.2567001446209","432.33597774264","18.799452","62.3446","3742","4.72382","0.51554697751999","","0.513208","14,17,20,21,24,25,26,40,41,47,50,52,53,54,57,58,60","TOI-2081 b","2020-07-15","2023-06-13","2025-07-31"
